report_date,table_index,source_url,vessels_arrived,vessels_departed,vessels_at_berth,vessels_at_outer_anchorage,import_full_teus,import_empty_teus,export_full_teus,export_empty_teus,total_import_teus,total_export_teus,total_teus,yard_stock_teus,yard_capacity_teus,yard_occupancy_pct,berth_occupancy_pct,avg_dwell_days,avg_turnaround_hours,gross_moves_per_hour
2023-01-01,1,SYNTHETIC,11,14,13,26,4836.8,217.7,2496.1,1496.6,5054.5,3992.8,9047.3,34814.0,53000,65.7,81.2,4.17,72.1,27.4
2023-01-02,1,SYNTHETIC,16,11,10,24,4140.1,172.4,2968.7,1318.1,4312.5,4286.8,8599.3,35838.0,53000,67.6,83.4,6.89,72.2,22.8
2023-01-03,1,SYNTHETIC,9,9,10,21,4080.9,118.0,2558.5,1287.2,4198.9,3845.7,8044.6,30003.0,53000,56.6,85.5,1.6,66.7,31.9
2023-01-04,1,SYNTHETIC,11,4,12,15,4048.8,161.2,2388.1,1412.0,4209.9,3800.0,8010.0,40237.0,53000,75.9,83.4,5.71,71.7,30.8
2023-01-05,1,SYNTHETIC,9,10,11,34,4205.2,201.4,2103.1,1583.1,4406.6,3686.2,8092.8,31034.0,53000,58.6,75.6,4.8,44.2,32.3
2023-01-06,1,SYNTHETIC,14,7,10,26,3817.8,118.0,2311.7,1034.4,3935.8,3346.0,7281.8,37065.0,53000,69.9,81.2,4.15,69.2,31.2
2023-01-07,1,SYNTHETIC,12,18,9,34,4822.1,159.3,2252.6,1835.1,4981.4,4087.7,9069.1,37878.0,53000,71.5,76.6,3.59,67.8,26.2
2023-01-08,1,SYNTHETIC,16,10,14,25,4104.8,114.6,1940.0,1555.2,4219.4,3495.2,7714.6,36843.0,53000,69.5,89.3,5.1,84.4,28.5
2023-01-09,1,SYNTHETIC,7,11,13,18,3659.9,216.8,2579.8,1263.9,3876.7,3843.7,7720.4,36606.0,53000,69.1,79.4,4.51,81.1,22.3
2023-01-10,1,SYNTHETIC,16,13,13,18,4835.0,198.9,2782.1,1303.9,5033.9,4086.0,9119.9,35512.0,53000,67.0,79.1,2.6,72.7,23.4
2023-01-11,1,SYNTHETIC,15,10,10,12,3771.5,249.2,1949.2,1418.0,4020.7,3367.3,7388.0,37129.0,53000,70.1,75.9,4.39,79.4,27.7
2023-01-12,1,SYNTHETIC,13,13,15,45,4749.0,159.0,2378.6,1874.6,4908.0,4253.2,9161.2,32941.0,53000,62.2,74.5,2.68,75.7,31.1
2023-01-13,1,SYNTHETIC,6,8,10,30,3381.2,207.0,2130.9,1201.7,3588.2,3332.7,6920.8,37999.0,53000,71.7,70.6,4.6,53.4,29.9
2023-01-14,1,SYNTHETIC,9,11,12,11,4802.5,136.6,2846.3,1795.5,4939.1,4641.8,9580.9,36796.0,53000,69.4,83.7,5.47,82.1,27.6
2023-01-15,1,SYNTHETIC,10,9,16,16,3964.6,272.1,1863.8,1477.0,4236.6,3340.8,7577.4,38865.0,53000,73.3,78.5,6.27,70.8,28.7
2023-01-16,1,SYNTHETIC,17,13,14,26,4258.5,280.3,2436.3,1218.1,4538.8,3654.3,8193.1,33977.0,53000,64.1,79.4,4.2,61.5,27.5
2023-01-17,1,SYNTHETIC,12,15,9,26,4670.4,227.8,2152.2,1754.8,4898.3,3907.0,8805.3,34231.0,53000,64.6,86.4,3.84,85.9,16.4
2023-01-18,1,SYNTHETIC,6,17,11,29,4209.0,227.5,2519.5,1261.7,4436.5,3781.1,8217.7,37896.0,53000,71.5,81.8,5.96,67.7,24.3
2023-01-19,1,SYNTHETIC,9,14,11,35,4423.0,150.8,2212.1,1692.8,4573.8,3904.9,8478.7,37875.0,53000,71.5,83.2,4.23,60.2,27.2
2023-01-20,1,SYNTHETIC,11,9,13,12,4064.5,90.4,2066.5,1445.4,4154.9,3511.9,7666.8,38141.0,53000,72.0,79.6,4.67,79.5,27.2
2023-01-21,1,SYNTHETIC,12,13,14,19,4454.3,263.9,2507.9,1533.0,4718.2,4040.8,8759.0,33308.0,53000,62.8,82.1,5.42,73.2,29.6
2023-01-22,1,SYNTHETIC,8,12,11,20,4481.2,136.9,2317.7,1404.5,4618.1,3722.2,8340.3,32143.0,53000,60.6,76.2,3.56,99.8,25.8
2023-01-23,1,SYNTHETIC,9,19,14,17,4289.3,105.2,2585.4,1176.4,4394.4,3761.8,8156.2,37051.0,53000,69.9,81.4,3.17,68.2,25.6
2023-01-24,1,SYNTHETIC,10,10,13,18,3977.1,248.5,2348.0,1342.4,4225.7,3690.4,7916.1,34748.0,53000,65.6,82.0,3.88,76.6,29.6
2023-01-25,1,SYNTHETIC,6,10,13,22,4790.1,218.8,2675.0,1745.8,5008.9,4420.8,9429.7,34309.0,53000,64.7,84.2,4.29,79.9,25.3
2023-01-26,1,SYNTHETIC,19,10,12,34,4345.6,286.3,2514.2,2030.3,4631.8,4544.4,9176.3,39097.0,53000,73.8,79.2,3.27,73.1,32.8
2023-01-27,1,SYNTHETIC,16,15,10,27,3764.3,211.2,2373.5,1043.1,3975.5,3416.6,7392.1,33422.0,53000,63.1,68.3,1.78,64.0,28.0
2023-01-28,1,SYNTHETIC,12,12,13,28,4383.9,108.5,2274.9,1292.7,4492.4,3567.6,8059.9,32632.0,53000,61.6,78.1,5.16,57.3,28.8
2023-01-29,1,SYNTHETIC,15,5,15,26,4165.5,306.3,2561.7,1670.7,4471.7,4232.3,8704.0,32005.0,53000,60.4,78.4,3.54,79.4,26.9
2023-01-30,1,SYNTHETIC,8,6,8,18,3897.6,291.9,2174.9,1749.4,4189.5,3924.3,8113.8,35842.0,53000,67.6,85.0,4.27,58.3,27.1
2023-01-31,1,SYNTHETIC,13,16,13,33,4287.1,254.5,2609.4,1154.1,4541.6,3763.5,8305.0,35309.0,53000,66.6,77.0,4.99,67.1,22.0
2023-02-01,1,SYNTHETIC,8,7,8,28,4241.4,154.0,2417.7,1145.6,4395.4,3563.2,7958.6,38028.0,53000,71.8,87.9,4.11,67.2,29.0
2023-02-02,1,SYNTHETIC,9,13,14,42,4996.3,329.1,2403.5,1949.0,5325.4,4352.5,9677.9,28842.0,53000,54.4,71.5,4.11,79.2,32.9
2023-02-03,1,SYNTHETIC,7,13,11,27,3664.7,138.7,2200.1,1540.0,3803.4,3740.1,7543.5,37876.0,53000,71.5,88.6,5.98,69.4,25.0
2023-02-04,1,SYNTHETIC,15,8,11,29,4260.5,305.2,2150.9,1699.2,4565.7,3850.1,8415.8,35967.0,53000,67.9,78.7,4.85,76.8,25.9
2023-02-05,1,SYNTHETIC,7,12,14,42,4352.9,266.2,2748.0,1276.7,4619.1,4024.7,8643.8,34385.0,53000,64.9,78.4,4.69,62.9,22.2
2023-02-06,1,SYNTHETIC,7,10,10,24,4119.1,136.9,2270.6,1540.2,4256.1,3810.8,8066.9,31476.0,53000,59.4,77.1,4.87,79.1,25.5
2023-02-07,1,SYNTHETIC,9,7,14,42,4408.9,233.3,2664.3,1325.5,4642.2,3989.8,8632.0,36436.0,53000,68.7,84.0,4.77,62.5,26.2
2023-02-08,1,SYNTHETIC,9,7,14,26,4233.0,169.5,2287.4,1807.7,4402.5,4095.1,8497.7,36022.0,53000,68.0,82.8,4.9,93.4,28.5
2023-02-09,1,SYNTHETIC,8,11,12,38,4316.5,182.2,2258.8,1682.4,4498.7,3941.2,8439.9,33521.0,53000,63.2,88.1,5.12,83.0,28.7
2023-02-10,1,SYNTHETIC,12,12,12,41,3891.9,179.1,1964.4,1371.3,4071.0,3335.7,7406.7,38652.0,53000,72.9,85.4,2.84,63.2,28.4
2023-02-11,1,SYNTHETIC,16,16,15,23,4713.5,146.6,2410.1,1580.5,4860.2,3990.5,8850.7,34910.0,53000,65.9,91.1,3.48,79.9,27.7
2023-02-12,1,SYNTHETIC,12,12,13,41,4769.2,222.8,2970.6,1857.9,4992.0,4828.4,9820.4,35655.0,53000,67.3,76.3,4.48,81.1,28.2
2023-02-13,1,SYNTHETIC,17,8,13,37,4638.7,327.0,3266.9,1469.6,4965.7,4736.5,9702.2,34434.0,53000,65.0,80.5,2.97,77.7,29.4
2023-02-14,1,SYNTHETIC,15,15,11,18,4105.3,140.8,2709.1,1483.2,4246.2,4192.2,8438.4,37433.0,53000,70.6,75.6,5.66,80.8,26.8
2023-02-15,1,SYNTHETIC,10,15,15,24,4728.6,276.9,2552.7,1780.8,5005.4,4333.5,9339.0,35951.0,53000,67.8,80.5,4.87,88.2,27.7
2023-02-16,1,SYNTHETIC,14,10,10,42,4661.5,210.6,2604.7,1758.6,4872.1,4363.3,9235.4,34816.0,53000,65.7,85.3,2.38,76.2,24.0
2023-02-17,1,SYNTHETIC,12,11,11,29,3719.4,81.4,2118.8,1237.1,3800.8,3355.9,7156.7,36588.0,53000,69.0,79.5,5.43,83.1,25.4
2023-02-18,1,SYNTHETIC,11,9,13,44,4241.8,160.1,2338.1,1799.4,4401.9,4137.4,8539.3,35262.0,53000,66.5,75.2,5.27,72.7,26.4
2023-02-19,1,SYNTHETIC,12,14,12,25,4690.4,139.4,2747.5,1599.4,4829.8,4346.8,9176.7,37956.0,53000,71.6,79.9,3.44,69.7,31.9
